NAICS_CODE,NAICS_DESCRIPTION,NAICS_SUBSECTOR_CODE,NAICS_SUBSECTOR_DESCRIPTION,NAICS_GROUP_CODE,NAICS_GROUP_DESCRIPTION
327320,Ready-Mix Concrete Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327331,Concrete Block and Brick Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327332,Concrete Pipe Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327390,Other Concrete Product Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327410,Lime Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327420,Gypsum Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327910,Abrasive Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327991,Cut Stone and Stone Product Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327992,Ground or Treated Mineral and Earth Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327993,Mineral Wool Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
331110,Iron and Steel Mills and Ferroalloy Manufacturing ,331,Primary Metal Manufacturing,33,Manufacturing
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331,Primary Metal Manufacturing,33,Manufacturing
331221,Rolled Steel Shape Manufacturing ,331,Primary Metal Manufacturing,33,Manufacturing
331222,Steel Wire Drawing ,331,Primary Metal Manufacturing,33,Manufacturing
331313,Alumina Refining and Primary Aluminum Production ,331,Primary Metal Manufacturing,33,Manufacturing
331314,Secondary Smelting and Alloying of Aluminum ,331,Primary Metal Manufacturing,33,Manufacturing
331315,"Aluminum Sheet, Plate, and Foil Manufacturing ",331,Primary Metal Manufacturing,33,Manufacturing
331318,"Other Aluminum Rolling, Drawing, and Extruding ",331,Primary Metal Manufacturing,33,Manufacturing
331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,331,Primary Metal Manufacturing,33,Manufacturing
331420,"Copper Rolling, Drawing, Extruding, and Alloying",331,Primary Metal Manufacturing,33,Manufacturing
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",331,Primary Metal Manufacturing,33,Manufacturing
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",331,Primary Metal Manufacturing,33,Manufacturing
331511,Iron Foundries ,331,Primary Metal Manufacturing,33,Manufacturing
331512,Steel Investment Foundries ,331,Primary Metal Manufacturing,33,Manufacturing
331513,Steel Foundries (except Investment) ,331,Primary Metal Manufacturing,33,Manufacturing
331523,Nonferrous Metal Die-Casting Foundries ,331,Primary Metal Manufacturing,33,Manufacturing
331524,Aluminum Foundries (except Die-Casting) ,331,Primary Metal Manufacturing,33,Manufacturing
331529,Other Nonferrous Metal Foundries (except Die-Casting) ,331,Primary Metal Manufacturing,33,Manufacturing
332111,Iron and Steel Forging ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332112,Nonferrous Forging ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332114,Custom Roll Forming ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332117,Powder Metallurgy Part Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332216,Saw Blade and Handtool Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332312,Fabricated Structural Metal Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332313,Plate Work Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332321,Metal Window and Door Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332322,Sheet Metal Work Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332323,Ornamental and Architectural Metal Work Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332410,Power Boiler and Heat Exchanger Manufacturing,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332420,Metal Tank (Heavy Gauge) Manufacturing,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332431,Metal Can Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332439,Other Metal Container Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332510,Hardware Manufacturing,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332613,Spring Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332618,Other Fabricated Wire Product Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332710,Machine Shops,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332721,Precision Turned Product Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332811,Metal Heat Treating ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332911,Industrial Valve Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332912,Fluid Power Valve and Hose Fitting Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332913,Plumbing Fixture Fitting and Trim Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332991,Ball and Roller Bearing Manufacturing,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332992,Small Arms Ammunition Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332993,Ammunition (except Small Arms) Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",332,Fabricated Metal Product Manufacturing,33,Manufacturing
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,332,Fabricated Metal Product Manufacturing,33,Manufacturing
333111,Farm Machinery and Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333120,Construction Machinery Manufacturing,333,Machinery Manufacturing,33,Manufacturing
333131,Mining Machinery and Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333132,Oil and Gas Field Machinery and Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333241,Food Product Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333242,Semiconductor Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333244,Printing Machinery and Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333249,Other Industrial Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333314,Optical Instrument and Lens Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333316,Photographic and Photocopying Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333511,Industrial Mold Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333515,Cutting Tool and Machine Tool Accessory Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333517,Machine Tool Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333611,Turbine and Turbine Generator Set Units Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333613,Mechanical Power Transmission Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333618,Other Engine Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333912,Air and Gas Compressor Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333921,Elevator and Moving Stairway Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333922,Conveyor and Conveying Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",333,Machinery Manufacturing,33,Manufacturing
333991,Power-Driven Handtool Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333992,Welding and Soldering Equipment Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333993,Packaging Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333995,Fluid Power Cylinder and Actuator Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333996,Fluid Power Pump and Motor Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333997,Scale and Balance Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,333,Machinery Manufacturing,33,Manufacturing
334111,Electronic Computer Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334112,Computer Storage Device Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334210,Telephone Apparatus Manufacturing,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334290,Other Communications Equipment Manufacturing,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334310,Audio and Video Equipment Manufacturing,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334412,Bare Printed Circuit Board Manufacturing  ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334413,Semiconductor and Related Device Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",334,Computer and Electronic Product Manufacturing,33,Manufacturing
334417,Electronic Connector Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334419,Other Electronic Component Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",334,Computer and Electronic Product Manufacturing,33,Manufacturing
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",334,Computer and Electronic Product Manufacturing,33,Manufacturing
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",334,Computer and Electronic Product Manufacturing,33,Manufacturing
334514,Totalizing Fluid Meter and Counting Device Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334516,Analytical Laboratory Instrument Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334517,Irradiation Apparatus Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334519,Other Measuring and Controlling Device Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334613,Blank Magnetic and Optical Recording Media Manufacturing ,334,Computer and Electronic Product Manufacturing,33,Manufacturing
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",334,Computer and Electronic Product Manufacturing,33,Manufacturing
335110,Electric Lamp Bulb and Part Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335121,Residential Electric Lighting Fixture Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335129,Other Lighting Equipment Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335210,Small Electrical Appliance Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335220,Major Household Appliance Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335311,"Power, Distribution, and Specialty Transformer Manufacturing ",335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335312,Motor and Generator Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335313,Switchgear and Switchboard Apparatus Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335314,Relay and Industrial Control Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335911,Storage Battery Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335912,Primary Battery Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335921,Fiber Optic Cable Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335929,Other Communication and Energy Wire Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335931,Current-Carrying Wiring Device Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335932,Noncurrent-Carrying Wiring Device Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335991,Carbon and Graphite Product Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,335,"Electrical Equipment, Appliance, and Component Manufacturing",33,Manufacturing
336111,Automobile Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336112,Light Truck and Utility Vehicle Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336120,Heavy Duty Truck Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336211,Motor Vehicle Body Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336212,Truck Trailer Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336213,Motor Home Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336214,Travel Trailer and Camper Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336340,Motor Vehicle Brake System Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336370,Motor Vehicle Metal Stamping,336,Transportation Equipment Manufacturing,33,Manufacturing
336390,Other Motor Vehicle Parts Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336411,Aircraft Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336412,Aircraft Engine and Engine Parts Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336414,Guided Missile and Space Vehicle Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336510,Railroad Rolling Stock Manufacturing,336,Transportation Equipment Manufacturing,33,Manufacturing
336611,Ship Building and Repairing ,336,Transportation Equipment Manufacturing,33,Manufacturing
336612,Boat Building ,336,Transportation Equipment Manufacturing,33,Manufacturing
336991,"Motorcycle, Bicycle, and Parts Manufacturing ",336,Transportation Equipment Manufacturing,33,Manufacturing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",336,Transportation Equipment Manufacturing,33,Manufacturing
336999,All Other Transportation Equipment Manufacturing ,336,Transportation Equipment Manufacturing,33,Manufacturing
337110,Wood Kitchen Cabinet and Countertop Manufacturing,337,Furniture and Related Product Manufacturing,33,Manufacturing
337121,Upholstered Household Furniture Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337122,Nonupholstered Wood Household Furniture Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337124,Metal Household Furniture Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337125,Household Furniture (except Wood and Metal) Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337127,Institutional Furniture Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337211,Wood Office Furniture Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337212,Custom Architectural Woodwork and Millwork Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337214,Office Furniture (except Wood) Manufacturing ,337,Furniture and Related Product Manufacturing,33,Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",337,Furniture and Related Product Manufacturing,33,Manufacturing
337910,Mattress Manufacturing,337,Furniture and Related Product Manufacturing,33,Manufacturing
337920,Blind and Shade Manufacturing,337,Furniture and Related Product Manufacturing,33,Manufacturing
339112,Surgical and Medical Instrument Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339113,Surgical Appliance and Supplies Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339114,Dental Equipment and Supplies Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339115,Ophthalmic Goods Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339116,Dental Laboratories ,339,Miscellaneous Manufacturing,33,Manufacturing
339910,Jewelry and Silverware Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339920,Sporting and Athletic Goods Manufacturing,339,Miscellaneous Manufacturing,33,Manufacturing
339930,"Doll, Toy, and Game Manufacturing",339,Miscellaneous Manufacturing,33,Manufacturing
339940,Office Supplies (except Paper) Manufacturing,339,Miscellaneous Manufacturing,33,Manufacturing
339950,Sign Manufacturing,339,Miscellaneous Manufacturing,33,Manufacturing
339991,"Gasket, Packing, and Sealing Device Manufacturing ",339,Miscellaneous Manufacturing,33,Manufacturing
339992,Musical Instrument Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339993,"Fastener, Button, Needle, and Pin Manufacturing ",339,Miscellaneous Manufacturing,33,Manufacturing
339994,"Broom, Brush, and Mop Manufacturing ",339,Miscellaneous Manufacturing,33,Manufacturing
339995,Burial Casket Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
339999,All Other Miscellaneous Manufacturing ,339,Miscellaneous Manufacturing,33,Manufacturing
423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423130,Tire and Tube Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423210,Furniture Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423220,Home Furnishing Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423390,Other Construction Material Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423410,Photographic Equipment and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423420,Office Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423440,Other Commercial Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423460,Ophthalmic Goods Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423490,Other Professional Equipment and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423510,Metal Service Centers and Other Metal Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423520,Coal and Other Mineral and Ore Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423690,Other Electronic Parts and Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423710,Hardware Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423830,Industrial Machinery and Equipment Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423840,Industrial Supplies Merchant Wholesalers,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423930,Recyclable Material Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,423,"Merchant Wholesalers, Durable Good",42,Wholesale Trade
424110,Printing and Writing Paper Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424120,Stationery and Office Supplies Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424130,Industrial and Personal Service Paper Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424210,Drugs and Druggists' Sundries Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424340,Footwear Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424410,General Line Grocery Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424420,Packaged Frozen Food Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424440,Poultry and Poultry Product Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424450,Confectionery Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424460,Fish and Seafood Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424470,Meat and Meat Product Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424480,Fresh Fruit and Vegetable Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424490,Other Grocery and Related Products Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424510,Grain and Field Bean Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424520,Livestock Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424590,Other Farm Product Raw Material Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,424,"Merchant Wholesalers, Nondurable Good",42,Wholesale Trade
